,Importance,Idx,Token
0,0.020442840881193424,681,feel
1,0.01951476018410095,1063,love
2,0.005745409863143014,184,beautiful
3,0.005222875898883622,1800,thank
4,0.0044459268468728845,120,argument
5,0.004315991040618718,815,happy
6,0.004150993056606576,683,feeling
7,0.003972246100877994,827,heart
8,0.003736199499125035,1030,life
9,0.003366865510592928,1670,song
10,0.003266046240880874,863,hope
11,0.003236652487945738,1894,use
12,0.003131227122646128,1340,point
13,0.00299402260953085,1032,like
14,0.00287506849790652,538,dream
15,0.0028688370413209115,1061,lot
16,0.002863172452236265,1666,solve
17,0.0027489023229537134,472,deep
18,0.0026827027936031566,1213,nt
19,0.002633552006872414,1001,knowledge
20,0.0026196946241342743,21,:d
21,0.0026084717025697695,367,computer
22,0.0025872734360770956,1807,think
23,0.0025799917400210477,98,answer
24,0.0024977154115163676,742,fuck
25,0.0024688393614612576,1814,ti
26,0.0024525212312519443,468,debate
27,0.0023784409722855905,1605,shit
28,0.0023564446799242693,773,good
29,0.002343568772094786,735,friend
30,0.002297736226255782,1000,know
31,0.0022882371792201134,1538,sad
32,0.0022854568161667687,1049,logic
33,0.0022828250872802473,1616,shy
34,0.002282056516815701,1929,want
35,0.0022200228105225387,1734,stupid
36,0.0021941540282325086,1419,question
37,0.002190853212681007,836,help
38,0.0020911371586806175,1972,work
39,0.002080228432265774,1328,plan
40,0.0020787277483623294,1817,time
41,0.002057544800094946,1806,thing
42,0.002040510440022768,1293,people
43,0.00203416075180716,1385,problem
44,0.0020319448858172008,685,female
45,0.0020010689550156707,1055,look
46,0.0019320826458569073,1979,write
47,0.0019178285754099713,476,definitely
48,0.0018787372959449794,806,haha
49,0.0018676435531120646,650,fact
50,0.0018520525239099671,1579,sensitive
51,0.0018491748467045236,1554,science
52,0.0018348182198687666,1867,type
53,0.0018289457101641582,1964,wish
54,0.0017704750616094375,128,ask
55,0.0017637257661471254,1513,right
56,0.0017614054444238555,939,intelligence
57,0.0017490010353633512,697,find
58,0.0017343672331406564,1803,theory
59,0.0017079115869466138,10,4w5
60,0.0016838647675471523,51,actually
61,0.0016814613580873558,1301,person
62,0.0016811522472109843,1106,maybe
63,0.0016755824421674562,1,'s
64,0.0016713193757994316,1316,physics
65,0.001630755228618054,232,boring
66,0.0016223421570334773,995,kind
67,0.0016088311608268002,1937,way
68,0.001607983726714124,980,joke
69,0.0016043404399665015,1050,logical
70,0.001601364016965335,1860,try
71,0.0016011527526167751,1494,require
72,0.0015949597188069523,918,information
73,0.0015725741446212767,948,interesting
74,0.0015638773734313882,1672,sorry
75,0.0015611387824811176,1992,yes
76,0.0015586314554162178,119,argue
77,0.0015482703194840061,816,hard
78,0.0015414704952477494,1197,nice
79,0.0015340969993980994,462,day
80,0.001532937495696725,750,game
81,0.0015258314259602467,1652,smart
82,0.001496763431308983,1103,math
83,0.001480509192865599,1969,wonderful
84,0.0014798494441348108,842,high
85,0.0014787629454538864,878,hurt
86,0.0014614060002275905,240,brain
87,0.0014511536004950573,938,intellectual
88,0.0014487171666410048,1701,start
89,0.001423388675374405,1495,research
90,0.0014223579700425356,131,ass
91,0.0014112125322389626,840,hi
92,0.001376740320076645,1758,sure
93,0.0013624505627735997,502,different
94,0.00136124694730432,1737,subject
95,0.001360628033310931,826,hear
96,0.0013584020792390067,1042,live
97,0.001348766801042394,1452,reason
98,0.001346655229558438,482,depend
99,0.0013434157677801855,1107,mean
100,0.0013409923022726904,1773,talk
101,0.0013336170488790517,1051,lol
102,0.001332695385163884,786,great
103,0.0013256972564880936,1444,read
104,0.0013255193433241782,1791,tell
105,0.0013182615130843945,1237,old
106,0.001316750148560582,1474,relate
107,0.0013109871395570807,1657,social
108,0.0013019775665748857,813,happen
109,0.001299266162232915,1476,relationship
110,0.0012922436162748057,345,come
111,0.0012896871687294539,167,bad
112,0.0012860489098521519,1376,pretty
113,0.0012769810506491055,883,idea
114,0.0012767160739989645,1553,school
115,0.001264934067550311,84,amazing
116,0.001260460641559804,1577,sense
117,0.001251904706731178,1900,usually
118,0.001251181616044713,1041,little
119,0.0012500189937244795,329,close
120,0.0012490782252684315,274,care
121,0.0012459507242614494,1880,understand
122,0.0012377762916857982,1187,need
123,0.0012366919159948542,209,bit
124,0.001230097842619848,1982,wrong
125,0.0012282384278960532,1933,waste
126,0.0012263296418682044,1358,post
127,0.0012218956919110978,389,consider
128,0.0012215274961483622,1404,prove
129,0.001221481130929653,1978,wow
130,0.0012157132258893478,726,forum
131,0.0012085131342743766,1770,system
132,0.001204570262792096,587,enjoy
133,0.0012009729400365027,1326,place
134,0.0012009598184282808,1384,probably
135,0.001200096435391218,1323,piss
136,0.0011991506419622786,646,eye
137,0.0011960705243822516,1234,oh
138,0.0011947110860765526,1853,troll
139,0.0011927927346525652,1812,thread
140,0.0011853459310027419,1535,rule
141,0.0011845818852339936,278,case
142,0.001181589208185349,1675,sound
143,0.0011625576885614932,1193,new
144,0.0011604212048521797,71,agree
145,0.0011570434879586613,1974,world
146,0.0011541762769263603,1033,likely
147,0.00115376500359153,1833,totally
148,0.0011432585221182686,1702,state
149,0.0011367485719048134,1331,play
150,0.0011360733658501308,1195,nf
151,0.0011357570528625332,1989,year
152,0.0011349194299193608,946,interest
153,0.0011310890091338214,743,fucking
154,0.001130153461233205,24,<3
155,0.001119131069146851,1115,meet
156,0.0011138248282942574,1798,test
157,0.001109576021826651,801,guy
158,0.001108424872379808,1967,woman
159,0.001100021457521218,1223,obviously
160,0.001094808425449497,1053,long
161,0.0010926809134727796,839,hey
162,0.0010897593178072547,194,believe
163,0.0010871902966411472,794,guess
164,0.0010826036010670348,559,easy
165,0.0010759490098753053,687,fi
166,0.0010755893351333636,1104,matter
167,0.0010722287514748027,1984,xd
168,0.0010704647284607155,176,base
169,0.001065759649625925,1020,leave
170,0.001063352480409517,615,exactly
171,0.001061201187962163,1011,laugh
172,0.0010538537221538025,1811,thought
173,0.0010524975351324571,766,girl
174,0.001052434023978393,768,glad
175,0.001042138223911307,628,experience
176,0.001040919893345025,1729,struggle
177,0.0010373546357452398,1988,yeah
178,0.0010354591999232824,1198,night
179,0.0010317043044349768,408,correct
180,0.0010169043532906894,1018,learn
181,0.0010125632176763997,1823,today
182,0.0010109499133594093,1726,strong
183,0.001007649952469286,745,fun
184,0.001007079712066954,285,certain
185,0.0010070422648742476,1082,man
186,0.001002127868053008,822,hate
187,0.0009988694670974869,29,able
188,0.0009977766750280158,1064,lovely
189,0.0009953208198816867,261,business
190,0.0009912916184423922,1971,word
191,0.0009893285780613274,1024,let
192,0.0009865493275266388,1660,society
193,0.0009822992148388406,1181,ne
194,0.000981560825519323,661,family
195,0.0009797972645895678,1590,sex
196,0.00097840354778418,1599,share
197,0.0009778167206942643,994,kill
198,0.0009777952062237087,134,assume
199,0.0009712282754119889,1168,music
200,0.000970153942600471,581,end
201,0.0009667200061748564,1304,personality
202,0.0009662417656962942,747,funny
203,0.0009650278553364471,1038,listen
204,0.0009616797454984688,1148,mom
205,0.0009582622758779777,159,away
206,0.000956905606757418,100,anxiety
207,0.0009556107408255488,399,conversation
208,0.0009535429097271094,1571,self
209,0.0009498834734940208,1196,ni
210,0.0009493552228579356,950,internet
211,0.000948229745221935,617,example
212,0.0009460037688245157,746,function
213,0.0009450278852287536,957,introvert
214,0.0009442976820454582,934,instead
215,0.0009427731372278916,1855,true
216,0.0009424731346659367,1831,topic
217,0.0009420508805315761,321,class
218,0.0009413577814035309,1638,situation
219,0.0009398392810803747,1949,welcome
220,0.0009396743429649942,23,:p
221,0.0009396085631490571,834,hell
222,0.0009348695571429211,674,favorite
223,0.0009333556266532357,1249,order
224,0.0009298594862700412,486,describe
225,0.0009281247216114165,114,apply
226,0.0009255231226322999,874,human
227,0.0009171417005792467,703,fit
228,0.0009159488964232577,1809,thinking
229,0.0009135016841983812,203,big
230,0.0009134645176753125,600,especially
231,0.0009131406403658608,1135,mind
232,0.0009082613893548573,1369,prefer
233,0.0009080603251224045,605,etc
234,0.000907475196285752,470,decide
235,0.0009074297703910534,423,crazy
236,0.0009033370298595956,1630,simply
237,0.0009020012739572055,1713,stop
238,0.0008949260582973903,1003,lack
239,0.0008926954461851501,1688,spend
240,0.0008915282178363396,947,interested
241,0.0008909392007721442,823,head
242,0.0008884223844102563,1703,statement
243,0.0008870916609398452,560,eat
244,0.000885743162993574,403,cool
245,0.0008844489911785208,140,attempt
246,0.0008832992319888777,1793,tend
247,0.0008799818290432372,1757,suppose
248,0.000879770112578892,566,effort
249,0.0008791902032968084,1151,month
250,0.000878205636221507,1059,lose
251,0.0008767119632165946,1458,recently
252,0.0008746788091344064,289,change
253,0.0008712423298466494,1437,rarely
254,0.0008679644094996303,1214,number
255,0.0008674208021117627,1486,remember
256,0.0008662479990926654,940,intelligent
257,0.0008647807642517478,458,date
258,0.0008646644896218897,1150,money
259,0.000864197289015585,729,free
260,0.0008641198969533334,631,explain
261,0.0008633335796403757,1209,notice
262,0.0008629946014194448,970,issue
263,0.0008611632226836914,241,break
264,0.0008577235927810317,1732,study
265,0.0008573020348506009,626,expect
266,0.0008568601297560178,611,evidence
267,0.0008563097648782668,453,damn
268,0.0008554860507239488,199,better
269,0.0008554526810641582,1386,process
270,0.0008541719897039437,1009,lately
271,0.0008538001012714973,1289,pay
272,0.0008505825632146277,753,gender
273,0.000847600453804657,1284,past
274,0.000844484456830146,993,kid
275,0.0008429154386619331,575,emotion
276,0.0008362188511537262,1447,real
277,0.0008329157848485379,1149,moment
278,0.0008295092882881633,1968,wonder
279,0.0008290549990164139,1628,similar
280,0.0008281011695882522,1034,limit
281,0.0008280574903934909,1641,skill
282,0.0008278388882588028,160,awesome
283,0.000823377093095503,977,job
284,0.0008231656371407872,478,degree
285,0.0008230035761309418,1903,value
286,0.000819973217176436,228,book
287,0.0008193968264084587,115,appreciate
288,0.0008156351722260853,305,child
289,0.0008141954475331619,447,cute
290,0.0008140226558529633,293,character
291,0.000808235735629825,63,advice
292,0.0008054096460672019,1719,strategy
293,0.0008050612165704903,1356,possible
294,0.0008035173004412805,1767,sweet
295,0.0008023848290623369,70,ago
296,0.0008013328284477275,966,iq
297,0.0007957957446479119,475,define
298,0.0007947569130911528,792,grow
299,0.0007943068446258027,1948,weird
300,0.0007933860882615705,371,conclusion
301,0.0007891371414820292,717,food
302,0.0007870660127260266,576,emotional
303,0.0007866720478233551,1243,opinion
304,0.0007844729808329981,1305,personally
305,0.0007825334264774348,1859,truth
306,0.0007818841617608982,810,hand
307,0.000781828905665761,286,certainly
308,0.0007800182584836378,692,figure
309,0.0007779411615156086,1396,project
310,0.000776572195483266,1913,view
311,0.0007761513092578522,1953,wikipedia
312,0.0007738632869585638,1995,young
313,0.0007697384430368407,860,honestly
314,0.0007695877073197748,716,follow
315,0.0007672727347330887,353,common
316,0.0007656279689506412,1239,online
317,0.000764709540218884,1037,list
318,0.0007596869894813576,265,buy
319,0.000759016806962231,1697,stand
320,0.000754808539870346,869,hour
321,0.0007527777570768439,1026,level
322,0.0007498706222550548,325,clear
323,0.0007483088571703684,1236,okay
324,0.0007477825093129671,142,attention
325,0.000746265592319513,1912,video
326,0.0007458367778047292,1863,turn
327,0.0007453379399069218,658,fall
328,0.0007444173191988492,835,hello
329,0.0007441642929481391,326,clearly
330,0.0007407500173012093,1565,second
331,0.0007405824621821256,1715,story
332,0.0007390493581436373,1242,open
333,0.0007376013786470604,1674,soul
334,0.0007371603454167583,691,fight
335,0.0007327218887551254,2,-PRON-
336,0.0007296215917178282,1519,robot
337,0.0007282567993296691,1651,small
338,0.000725910418572008,647,face
339,0.0007246678076871611,809,half
340,0.0007245658000563742,1501,response
341,0.0007239937067332873,311,choose
342,0.0007224192870146366,1262,page
343,0.0007221827785616678,1188,negative
344,0.0007216940152223368,1827,tongue
345,0.0007176359896549686,501,difference
346,0.0007139313532087018,755,generally
347,0.0007135154511599638,1431,random
348,0.0007105365509066046,154,average
349,0.0007087601713315887,467,death
350,0.0007086421629440754,541,drive
351,0.000707458267513059,1451,realize
352,0.0006994652305241325,676,fe
353,0.0006991551849289583,904,important
354,0.0006988369444842768,178,basically
355,0.0006988140469273787,1795,term
356,0.0006984954783554715,666,far
357,0.000697367767808814,754,general
358,0.0006948428056934502,1829,tool
359,0.0006937124930843897,1784,team
360,0.0006922959246364314,1320,picture
361,0.0006920583427706823,1679,space
362,0.0006917585568053589,1934,watch
363,0.000689958786625948,1163,movie
364,0.0006893953615134386,1945,week
365,0.0006864361673104191,870,house
366,0.0006848244274223356,1629,simple
367,0.000684715819005967,231,bored
368,0.0006836223228435265,95,annoy
369,0.0006810455701163928,1138,minute
370,0.0006800099276191639,398,control
371,0.0006799958797898964,445,currently
372,0.0006799440410007005,771,god
373,0.0006769801138042839,225,body
374,0.0006765226717757944,1617,si
375,0.0006758111590142848,116,approach
376,0.0006751208687241632,1012,law
377,0.0006751024670887964,757,genius
378,0.0006742175924749586,1235,ok
379,0.0006708145546923172,624,exist
380,0.0006681237446567835,52,add
381,0.0006658370293631195,368,concept
382,0.000665791820283484,1705,stay
383,0.0006646165153042145,1008,late
384,0.0006625217145660965,1443,reaction
385,0.0006618817022499005,318,claim
386,0.0006617856208661864,1636,sit
387,0.0006605606393070598,517,discussion
388,0.0006596199261093594,1506,result
389,0.0006591303910289143,1120,memory
390,0.0006582892669768749,1923,wait
391,0.0006581267559103854,1203,nope
392,0.0006578759391147757,722,forget
393,0.0006572755103400832,415,course
394,0.0006567701485399921,191,behavior
395,0.0006566053625759261,1681,speak
396,0.0006549981001014237,1924,wake
397,0.0006549478282517178,1673,sort
398,0.0006538533099725972,465,deal
399,0.0006532672236464775,1081,male
400,0.0006526473441767814,1545,save
401,0.0006526421011370169,245,bring
402,0.000652545497325974,443,curious
403,0.0006504012031462538,889,idiot
404,0.0006497256591858655,1842,trait
405,0.0006479456657087372,778,government
406,0.0006466570455965763,1014,lazy
407,0.0006453265680908306,903,imply
408,0.0006450554947556479,504,difficult
409,0.0006425614111957582,212,black
410,0.000642540265801807,1733,stuff
411,0.0006409250462639572,182,bear
412,0.0006395387478118729,363,completely
413,0.000636817213159074,66,afraid
414,0.0006331034728835636,1645,sleep
415,0.0006329029319517297,1635,sister
416,0.0006312375300556709,586,english
417,0.0006296941440178956,897,imagine
418,0.000628435668906378,634,express
419,0.0006268952903032415,812,hang
420,0.0006264397307172104,1157,mother
421,0.0006236328258015346,720,force
422,0.0006233138360055091,908,include
423,0.0006224886551010575,540,drink
424,0.0006223613220859848,1868,typical
425,0.0006204469973970378,1587,set
426,0.0006200125035330123,89,analyze
427,0.0006186867516996052,737,friendship
428,0.0006168272353436979,644,extrovert
429,0.0006167447196282486,876,humor
430,0.0006165441011149126,1439,rational
431,0.0006150364270738105,1035,line
432,0.0006138609263221493,1273,parent
433,0.0006137327892461031,859,honest
434,0.0006127450727500969,1208,note
435,0.0006102673234999152,1423,quiet
436,0.0006102059348003804,1976,worry
437,0.0006087703688049716,471,decision
438,0.000608444428675888,713,focus
439,0.0006079587906699561,1561,se
440,0.0006079213171501452,841,hide
441,0.0006069715821957149,1222,obvious
442,0.0006065045431055666,1246,opposite
443,0.0006060329420142343,1123,mention
444,0.0006058378747476313,253,build
445,0.0006054823165124874,1083,manage
446,0.0006028629744986856,850,hmm
447,0.0006011854495713288,1711,stick
448,0.0006002933636721326,1557,score
449,0.0005994335821433185,1584,seriously
450,0.0005980104615960273,1654,smile
451,0.0005978379626086544,487,description
452,0.0005975989242868892,1883,unhealthy
453,0.0005957457120285949,1722,stress
454,0.0005952026728633602,1856,truly
455,0.0005951348038815304,1303,personal
456,0.0005939989047422185,1217,objective
457,0.000593455380968023,196,benefit
458,0.0005922491760803709,220,blue
459,0.0005914154821396031,1925,walk
460,0.0005910197952661789,1357,possibly
461,0.0005898229926650407,1180,nature
462,0.0005891221907577699,871,hug
463,0.0005890858054775399,499,die
464,0.0005889179542004591,1731,student
465,0.0005881673651266904,425,create
466,0.0005873993200459129,45,action
467,0.0005869021290289298,654,fair
468,0.0005852616552946355,413,country
469,0.0005844205006346509,396,continue
470,0.0005817241072518031,1956,win
471,0.00058165302583604,853,hold
472,0.0005809236579371034,239,boyfriend
473,0.0005786271144998569,642,extremely
474,0.0005775867539073264,825,healthy
475,0.0005774384574635688,1520,rock
476,0.0005756622483727613,414,couple
477,0.0005746720351810851,1241,op
478,0.0005745983147896387,1525,romantic
479,0.0005737672598545962,555,early
480,0.0005732976207317292,958,introverted
481,0.0005729815854081017,288,chance
482,0.0005727154901724285,1611,short
483,0.0005722638391207019,337,cognitive
484,0.000571941306718985,698,fine
485,0.0005719252211459685,1981,writing
486,0.0005704960975011313,515,discover
487,0.0005701155323773787,1490,reply
488,0.0005694769182449177,1858,trust
489,0.0005687304457295528,1029,lie
490,0.0005684313616683528,558,easily
491,0.0005677754590093013,1416,push
492,0.0005676036675420909,1129,method
493,0.0005674271219520784,1977,worth
494,0.0005672535680320339,1742,suck
495,0.0005652868466735018,44,act
496,0.0005637291510014437,135,assumption
497,0.0005629846221439928,67,age
498,0.0005615460858681939,1813,throw
499,0.000559800556908119,857,home
500,0.0005596862632396575,1421,quick
501,0.0005596759324542634,1186,necessary
502,0.0005589840592226079,350,comment
503,0.0005584453921936051,1581,sentence
504,0.000557647871162588,1426,quote
505,0.000557324113797166,1108,meaning
506,0.0005567236189016022,484,depression
507,0.0005566551274741944,1341,pointless
508,0.0005560868237000084,1362,power
509,0.0005550409476660533,1006,language
510,0.0005549825956879472,1746,suggest
511,0.0005529865994265241,770,goal
512,0.0005523401104384409,704,fix
513,0.0005520098433399988,1709,stereotype
514,0.0005516356174635635,1940,wear
515,0.0005493868573161921,35,accept
516,0.0005477668585350733,1780,te
517,0.0005469232510150673,1276,particular
518,0.0005468966633473106,996,kinda
519,0.0005463884098250583,979,join
520,0.0005463721627753148,1820,tired
521,0.0005463387120521824,92,angry
522,0.0005456718358856228,340,college
523,0.0005455189574824861,1052,lonely
524,0.0005453625978196265,301,check
525,0.0005449710516142703,1499,respect
526,0.0005447090685115215,548,dumb
527,0.0005438344211663834,438,cry
528,0.0005436214530386326,1683,specific
529,0.0005434291272914944,677,fear
530,0.0005430546269746673,1950,white
531,0.0005427959809019569,1345,political
532,0.0005426284142847263,466,dear
533,0.000542403100434701,536,draw
534,0.0005419277759907601,613,ex
535,0.000540003539263085,1692,sport
536,0.0005399300671900801,1205,normal
537,0.0005376232782921793,901,imo
538,0.0005373796292214698,1527,room
539,0.0005368526897501256,248,brother
540,0.0005335924903535715,1140,miss
541,0.0005301620283493604,892,ignore
542,0.0005294499870016851,1247,option
543,0.0005280065284030922,1897,user
544,0.0005278517053930653,155,avoid
545,0.0005266990775669312,483,depressed
546,0.0005263361681764383,1821,title
547,0.0005260811707236225,696,finally
548,0.0005258267803628737,1256,outside
549,0.0005249924648940355,928,inside
550,0.0005233605237718241,498,dick
551,0.0005224494493588905,1536,run
552,0.0005224202178084845,1414,purpose
553,0.0005222414426453104,593,environment
554,0.0005209066997492327,1319,pick
555,0.0005202017525819761,1314,physical
556,0.0005192858918972093,338,cold
557,0.0005191394188294499,451,dad
558,0.0005190439672674636,847,hit
559,0.0005186512925055958,99,anti
560,0.0005174677585301739,562,edit
561,0.0005173154798027332,532,doubt
562,0.0005170167928980763,665,fantasy
563,0.0005165007721571215,348,comfortable
564,0.0005159566632131142,1334,plenty
565,0.0005154972556290639,287,challenge
566,0.0005145655043747953,807,hahaha
567,0.000513904512270519,1066,low
568,0.000513654560038182,693,fill
569,0.0005122268551683414,1202,non
570,0.0005097712843180636,1504,rest
571,0.0005077210191204357,412,count
572,0.0005072236089463643,111,appear
573,0.0005063911848079377,48,activity
574,0.0005056610619934686,1556,scientist
575,0.0005051408050142658,1955,willing
576,0.0005045695746370148,1114,medium
577,0.0005030215521041981,1338,poem
578,0.0005029097280387713,1349,pop
579,0.0005028390755561723,694,film
580,0.000502658922460155,234,bother
581,0.0005016146112463015,31,absolutely
582,0.0005015017668935803,130,aspect
583,0.0005006795503840885,1297,perfect
584,0.0005005390847219601,400,convince
585,0.00050053352255174,1468,regardless
586,0.0004994302475531548,564,effect
587,0.0004991285518022186,1031,light
588,0.000499102105777486,775,google
589,0.000497487550114839,1931,warm
590,0.0004973470280313831,641,extreme
591,0.0004971026319050301,144,attract
592,0.0004966359608882291,724,form
593,0.0004966301332730904,671,father
594,0.0004952546617126854,1555,scientific
595,0.0004951358751222236,490,desire
596,0.0004946302542102411,1015,lead
597,0.0004939994124619757,1278,partner
598,0.0004918213814419903,1019,learning
599,0.000491731116439815,887,identify
600,0.000490875141769207,1895,useful
601,0.0004905650106061642,1252,original
602,0.000489732876810896,57,admit
603,0.0004888003935445149,1354,positive
604,0.0004884619945650052,1801,thanks
605,0.0004873413853056699,960,intuition
606,0.0004873207335628223,310,choice
607,0.0004871422466026905,651,factor
608,0.0004869842886695321,791,group
609,0.00048488523026462627,1482,religion
610,0.00048349191011870746,258,bunch
611,0.0004834232992397475,457,dark
612,0.0004828876567609326,1804,therapist
613,0.00048204989198240137,1141,mistake
614,0.00048159065903065487,843,highly
615,0.0004805605645876509,317,city
616,0.00047942050316962054,125,artist
617,0.000478996920167983,1004,lady
618,0.00047859083490039706,1185,necessarily
619,0.00047791575851692747,1295,perceive
620,0.0004767777941149019,1755,superior
621,0.000475782208719469,1708,step
622,0.0004754267697104175,527,dom
623,0.0004743427946387925,1682,special
624,0.0004730506129020128,1159,motivation
625,0.00047298857570048694,1575,send
626,0.0004723925631511728,592,entirely
627,0.0004723754987349183,1908,version
628,0.0004715967678246758,281,catch
629,0.0004708273487831096,1943,website
630,0.00047053599298569726,862,hop
631,0.00047005237716821316,518,dislike
632,0.00046987993686990097,463,daydream
633,0.00046876044809080885,1010,later
634,0.000467483359614201,682,feeler
635,0.0004674331030608074,1481,relevant
636,0.0004669333179514186,1717,strange
637,0.0004662410834742283,1119,member
638,0.00046572673597681407,1288,pattern
639,0.00046545234724483997,493,detail
640,0.00046482508893947073,268,calm
641,0.0004646037796609219,797,guilty
642,0.00046442556163296477,173,band
643,0.00046404373945468924,464,dead
644,0.00046346946314527077,1782,teach
645,0.0004633744766063561,1960,wink
646,0.000462943707079922,1039,literally
647,0.00046263648469783525,895,image
648,0.0004623115357609272,393,contact
649,0.00046148759246339985,1668,somewhat
650,0.0004608859625846897,358,compare
651,0.0004600648591832757,748,future
652,0.00045992429999736116,885,idealist
653,0.000459923325539711,1753,super
654,0.00045984626916142213,914,individual
655,0.00045919454798838856,163,awkward
656,0.0004586943179139649,1174,nah
657,0.00045829875294650093,543,drop
658,0.00045791070201844225,1306,perspective
659,0.00045767009611701563,915,inferior
660,0.00045674862256202454,1671,soon
661,0.0004566216149456078,280,cat
662,0.00045634250449682847,1321,piece
663,0.0004557119142338093,1735,style
664,0.00045530523601949895,1178,natural
665,0.0004534247906664964,1885,universe
666,0.0004532601830697612,622,excuse
667,0.00045290016514536207,1036,link
668,0.00045258331940166934,1380,primary
669,0.0004523109045007701,669,fast
670,0.00045095457027490954,1919,vote
671,0.00045015037614015355,230,bore
672,0.00044914257742964336,1436,rare
673,0.0004482144793850935,93,animal
674,0.0004477043935262242,1007,large
675,0.0004476996490102663,868,hot
676,0.00044735995088566257,357,company
677,0.0004462579406279329,473,deeply
678,0.00044624110346984706,1752,sun
679,0.0004462285518728223,1667,somebody
680,0.0004450259007827627,1277,particularly
681,0.00044490350160080394,1100,match
682,0.0004448507671488614,652,fail
683,0.00044437017861918127,964,involve
684,0.00044334200888571394,137,atheist
685,0.0004430045350912182,1228,offend
686,0.00044138228201673227,961,intuitive
687,0.00044128056791508725,1475,relation
688,0.0004411681410785289,1691,spiritual
689,0.000440657270117476,916,influence
690,0.0004402828949898942,1220,obsess
